
 1; 6
 32; 16
 2; 6
 33; 16
 3; 3
 34; 5
 60; 26
 4; 3
 35; 9
 61; 8
 5; 3
 36; 9
 62; 8
 6; 6
 37; 5
 63; 8
 7; 3
 38; 5
 64; 8
 8; 3
 39; 9
 65; 15
 9; 6
 40; 9
 66; 15
 10; 6
 41; 9
 67; 8
 11; 10
 42; 5
 68; 8
 12; 6
 43; 5
 69; 15
 13; 6
 44; 16
 70; 15
 91; 25
 14; 6
 45; 5
 71; 8
 92; 13
 15; 6
 46; 16
 121; 19
 72; 15
 152; 39
 182; 60
 213; 15
 244; 35
 274; 6
 305; 4
 335; 3
 93; 13
 16; 6
 47; 9
 122; 19
 73; 15
 153; 39
 183; 18
 214; 50
 245; 35
 275; 13
 306; 7
 336; 6
 94; 13
 17; 3
 123; 62
 74; 15
 154; 19
 48; 16
 184; 36
 215; 15
 246; 10
 276; 21
 307; 4
 337; 3
 95; 25
 18; 6
 124; 19
 75; 15
 155; 19
 49; 5
 185; 60
 216; 30
 247; 10
 277; 13
 308; 7
 338; 10
 96; 13
 19; 6
 125; 62
 76; 8
 156; 39
 217; 50
 186; 18
 248; 21
 278; 21
 309; 12
 50; 9
 339; 6
 97; 13
 20; 6
 126; 37
 77; 15
 157; 39
 218; 50
 187; 60
 249; 21
 279; 13
 310; 7
 51; 5
 340; 3
 98; 13
 21; 6
 78; 15
 127; 37
 158; 39
 219; 50
 250; 35
 280; 13
 311; 4
 188; 60
 52; 9
 99; 42
 341; 6
 22; 3
 79; 8
 128; 37
 159; 19
 220; 30
 251; 10
 281; 21
 312; 7
 189; 18
 53; 9
 100; 25
 23; 3
 342; 3
 80; 15
 129; 37
 160; 19
 221; 30
 252; 21
 282; 6
 313; 7
 190; 18
 54; 9
 101; 25
 24; 3
 343; 6
 81; 15
 130; 37
 161; 39
 222; 50
 253; 10
 283; 13
 314; 4
 191; 36
 55; 5
 102; 13
 25; 10
 344; 6
 82; 8
 131; 37
 162; 64
 223; 30
 254; 10
 284; 21
 315; 4
 192; 18
 56; 5
 103; 25
 26; 6
 345; 3
 83; 8
 132; 37
 163; 39
 224; 50
 255; 35
 285; 21
 316; 7
 193; 36
 57; 5
 104; 25
 27; 3
 84; 26
 346; 6
 133; 37
 164; 19
 225; 50
 256; 21
 286; 6
 317; 12
 194; 36
 58; 9
 105; 25
 28; 3
 85; 15
 347; 3
 134; 37
 165; 39
 226; 15
 257; 35
 287; 21
 318; 7
 195; 36
 59; 5
 106; 13
 29; 10
 86; 8
 348; 10
 135; 37
 166; 39
 227; 15
 258; 21
 288; 6
 319; 4
 196; 36
 107; 13
 30; 3
 87; 8
 349; 6
 136; 37
 167; 39
 228; 30
 259; 10
 289; 6
 320; 7
 197; 36
 108; 25
 31; 3
 88; 8
 350; 6
 137; 62
 168; 39
 229; 15
 260; 21
 290; 21
 321; 7
 109; 42
 89; 8
 198; 60
 351; 3
 169; 39
 138; 19
 230; 30
 261; 21
 291; 21
 322; 4
 110; 25
 90; 15
 199; 36
 352; 3
 170; 39
 139; 37
 231; 50
 262; 35
 292; 13
 323; 7
 111; 13
 200; 36
 353; 3
 171; 64
 140; 37
 232; 50
 263; 21
 293; 13
 324; 4
 112; 25
 201; 36
 354; 10
 172; 39
 141; 37
 233; 30
 264; 21
 294; 21
 325; 12
 113; 25
 202; 36
 355; 3
 173; 39
 142; 62
 234; 50
 265; 10
 295; 13
 114; 25
 326; 4
 203; 36
 356; 3
 174; 64
 143; 37
 235; 30
 266; 10
 296; 13
 115; 13
 327; 7
 204; 18
 357; 3
 175; 19
 144; 37
 236; 30
 267; 10
 297; 21
 116; 25
 328; 7
 205; 36
 358; 3
 176; 19
 145; 19
 237; 15
 268; 21
 298; 6
 117; 25
 329; 4
 206; 60
 359; 3
 177; 39
 146; 37
 238; 30
 269; 21
 299; 21
 118; 25
 330; 7
 207; 18
 360; 3
 178; 39
 147; 19
 239; 30
 270; 35
 300; 6
 119; 42
 331; 7
 208; 18
 361; 3
 179; 19
 240; 15
 148; 37
 271; 35
 120; 13
 301; 13
 332; 7
 209; 36
 362; 3
 180; 39
 241; 30
 149; 37
 272; 21
 302; 13
 333; 4
 210; 36
 363; 3
 181; 64
 242; 30
 150; 37
 273; 21
 303; 13
 334; 4
 211; 36
 243; 30
 364; 3
 151; 19
 304; 13
 212; 60
 365; 3
